Classification,Code,Type,Description
,H3540,,Unspecified peripheral retinal degeneration
,H35411,,"Lattice degeneration of retina, right eye"
,H35412,,"Lattice degeneration of retina, left eye"
,H35413,,"Lattice degeneration of retina, bilateral"
,H35419,,"Lattice degeneration of retina, unspecified eye"
,H356,,Retinal hemorrhage
,H3560,,"Retinal hemorrhage, unspecified eye"
,H3561,,"Retinal hemorrhage, right eye"
,H3562,,"Retinal hemorrhage, left eye"
,H3563,,"Retinal hemorrhage, bilateral"
,H357,,Separation of retinal layers
,H35711,,"Central serous chorioretinopathy, right eye"
,H35712,,"Central serous chorioretinopathy, left eye"
,H35713,,"Central serous chorioretinopathy, bilateral"
,H35719,,"Central serous chorioretinopathy, unspecified eye"
,H35721,,"Serous detachment of retinal pigment epithelium, right eye"
,H35722,,"Serous detachment of retinal pigment epithelium, left eye"
,H35723,,"Serous detachment of retinal pigment epithelium, bilateral"
,H35729,,"Serous detachment of retinal pigment epithelium, unsp eye"
,H358,,Other specified retinal disorders
,H3589,,Other specified retinal disorders
,H359,,Unspecified retinal disorder
,H400,,Glaucoma suspect
,H40001,,"Preglaucoma, unspecified, right eye"
,H40002,,"Preglaucoma, unspecified, left eye"
,H40003,,"Preglaucoma, unspecified, bilateral"
,H40009,,"Preglaucoma, unspecified, unspecified eye"
,H40011,,"Open angle with borderline findings, low risk, right eye"
,H40012,,"Open angle with borderline findings, low risk, left eye"
,H40013,,"Open angle with borderline findings, low risk, bilateral"
,H40019,,"Open angle with borderline findings, low risk, unsp eye"
,H40021,,"Open angle with borderline findings, high risk, right eye"
,H40022,,"Open angle with borderline findings, high risk, left eye"
,H40023,,"Open angle with borderline findings, high risk, bilateral"
,H40029,,"Open angle with borderline findings, high risk, unsp eye"
,H40051,,"Ocular hypertension, right eye"
,H40052,,"Ocular hypertension, left eye"
,H40053,,"Ocular hypertension, bilateral"
,H40059,,"Ocular hypertension, unspecified eye"
,H406,,Glaucoma secondary to drugs
,H4060X0,,"Glaucoma secondary to drugs, unsp eye, stage unspecified"
,H4060X1,,"Glaucoma secondary to drugs, unspecified eye, mild stage"
,H4060X2,,"Glaucoma secondary to drugs, unspecified eye, moderate stage"
,H4060X3,,"Glaucoma secondary to drugs, unspecified eye, severe stage"
,H4060X4,,"Glaucoma secondary to drugs, unsp eye, indeterminate stage"
,H4061X0,,"Glaucoma secondary to drugs, right eye, stage unspecified"
,H4061X1,,"Glaucoma secondary to drugs, right eye, mild stage"
,H4061X2,,"Glaucoma secondary to drugs, right eye, moderate stage"
,H4061X3,,"Glaucoma secondary to drugs, right eye, severe stage"
,H4061X4,,"Glaucoma secondary to drugs, right eye, indeterminate stage"
,H4062X0,,"Glaucoma secondary to drugs, left eye, stage unspecified"
,H4062X1,,"Glaucoma secondary to drugs, left eye, mild stage"
,H4062X2,,"Glaucoma secondary to drugs, left eye, moderate stage"
,H4062X3,,"Glaucoma secondary to drugs, left eye, severe stage"
,H4062X4,,"Glaucoma secondary to drugs, left eye, indeterminate stage"
,H4063X0,,"Glaucoma secondary to drugs, bilateral, stage unspecified"
,H4063X1,,"Glaucoma secondary to drugs, bilateral, mild stage"
,H4063X2,,"Glaucoma secondary to drugs, bilateral, moderate stage"
,H4063X3,,"Glaucoma secondary to drugs, bilateral, severe stage"
,H4063X4,,"Glaucoma secondary to drugs, bilateral, indeterminate stage"
,H409,,Unspecified glaucoma
,H433,,Other vitreous opacities
,H43391,,"Other vitreous opacities, right eye"
,H43392,,"Other vitreous opacities, left eye"
,H43393,,"Other vitreous opacities, bilateral"
,H43399,,"Other vitreous opacities, unspecified eye"
,H438,,Other disorders of vitreous body
,H43811,,"Vitreous degeneration, right eye"
,H43812,,"Vitreous degeneration, left eye"
,H43813,,"Vitreous degeneration, bilateral"
,H43819,,"Vitreous degeneration, unspecified eye"
,H4389,,Other disorders of vitreous body
,H439,,Unspecified disorder of vitreous body
,H442A1,,"Degeneratv myopia with choroidal neovascularization, r eye"
,H442A2,,"Degeneratv myopia with choroidal neovascularization, l eye"
,H442A3,,"Degeneratv myopia with choroidal neovascularization, bi eye"
,H442A9,,"Degenerative myopia with choroidal neovascularization, unsp"
,H442B1,,"Degenerative myopia with macular hole, right eye"
,H442B2,,"Degenerative myopia with macular hole, left eye"
,H442B3,,"Degenerative myopia with macular hole, bilateral eye"
,H442B9,,"Degenerative myopia with macular hole, unspecified eye"
,H442C1,,"Degenerative myopia with retinal detachment, right eye"
,H442C2,,"Degenerative myopia with retinal detachment, left eye"
,H442C3,,"Degenerative myopia with retinal detachment, bilateral eye"
,H442C9,,"Degenerative myopia with retinal detachment, unspecified eye"
,H447,,"Retained (old) intraocular foreign body, nonmagnetic"
,H44701,,"Unsp retained (old) intraocular fb, nonmagnetic, right eye"
,H44702,,"Unsp retained (old) intraocular fb, nonmagnetic, left eye"
,H44703,,"Unsp retained (old) intraocular fb, nonmagnetic, bilateral"
,H44709,,"Unsp retained (old) intraocular fb, nonmagnetic, unsp eye"
,H46,,Optic neuritis
,H469,,Unspecified optic neuritis
,H470,,"Disorders of optic nerve, not elsewhere classified"
,H47011,,"Ischemic optic neuropathy, right eye"
,H47012,,"Ischemic optic neuropathy, left eye"
,H47013,,"Ischemic optic neuropathy, bilateral"
,H47019,,"Ischemic optic neuropathy, unspecified eye"
,H47091,,"Oth disorders of optic nerve, NEC, right eye"
,H47092,,"Oth disorders of optic nerve, NEC, left eye"
,H47093,,"Oth disorders of optic nerve, NEC, bilateral"
,H47099,,"Oth disorders of optic nerve, NEC, unsp eye"
,H472,,Optic atrophy
,H4720,,Unspecified optic atrophy
,H47231,,"Glaucomatous optic atrophy, right eye"
,H47232,,"Glaucomatous optic atrophy, left eye"
,H47233,,"Glaucomatous optic atrophy, bilateral"
,H47239,,"Glaucomatous optic atrophy, unspecified eye"
,H47291,,"Other optic atrophy, right eye"
,H47292,,"Other optic atrophy, left eye"
,H47293,,"Other optic atrophy, bilateral"
,H47299,,"Other optic atrophy, unspecified eye"
,H473,,Other disorders of optic disc
,H47321,,"Drusen of optic disc, right eye"
,H47322,,"Drusen of optic disc, left eye"
,H47323,,"Drusen of optic disc, bilateral"
,H47329,,"Drusen of optic disc, unspecified eye"
,H475,,Disorders of other visual pathways
,H47511,,"Disord of visual pathways in inflam disord, right side"
,H47512,,"Disord of visual pathways in inflam disord, left side"
,H47519,,"Disord of visual pathways in inflam disord, unsp side"
,H477,,
,H479,,Unspecified disorder of visual pathways
,H491,,Fourth [trochlear] nerve palsy
,H4910,,"Fourth [trochlear] nerve palsy, unspecified eye"
,H4911,,"Fourth [trochlear] nerve palsy, right eye"
,H4912,,"Fourth [trochlear] nerve palsy, left eye"
,H4913,,"Fourth [trochlear] nerve palsy, bilateral"
,H492,,Sixth [abducent] nerve palsy
,H4920,,"Sixth [abducent] nerve palsy, unspecified eye"
,H4921,,"Sixth [abducent] nerve palsy, right eye"
,H4922,,"Sixth [abducent] nerve palsy, left eye"
,H4923,,"Sixth [abducent] nerve palsy, bilateral"
,H500,,Esotropia
,H5000,,Unspecified esotropia
,H50011,,"Monocular esotropia, right eye"
,H50012,,"Monocular esotropia, left eye"
,H5005,,Alternating esotropia
,H501,,Exotropia
,H5010,,Unspecified exotropia
,H50131,,"Monocular exotropia with V pattern, right eye"
,H50132,,"Monocular exotropia with V pattern, left eye"
,H5015,,Alternating exotropia
,H5021,,"Vertical strabismus, right eye"
,H5022,,"Vertical strabismus, left eye"
,H503,,Intermittent heterotropia
,H50311,,"Intermittent monocular esotropia, right eye"
,H50312,,"Intermittent monocular esotropia, left eye"
,H5032,,Intermittent alternating esotropia
,H50331,,"Intermittent monocular exotropia, right eye"
,H50332,,"Intermittent monocular exotropia, left eye"
,H5034,,Intermittent alternating exotropia
,H504,,Other and unspecified heterotropia
,H505,,Heterophoria
,H5050,,Unspecified heterophoria
,H5051,,Esophoria
,H5052,,Exophoria
,H5053,,Vertical heterophoria
,H509,,Unspecified strabismus
,H511,,Convergence insufficiency and excess
,H5111,,Convergence insufficiency
,H5112,,Convergence excess
,H518,,Other specified disorders of binocular movement
,H519,,Unspecified disorder of binocular movement
,H520,,Hypermetropia
,H5200,,"Hypermetropia, unspecified eye"
,H5201,,"Hypermetropia, right eye"
,H5202,,"Hypermetropia, left eye"
,H5203,,"Hypermetropia, bilateral"
,H521,,Myopia
,H5210,,"Myopia, unspecified eye"
,H5211,,"Myopia, right eye"
,H5212,,"Myopia, left eye"
,H5213,,"Myopia, bilateral"
,H522,,Astigmatism
,H52201,,"Unspecified astigmatism, right eye"
,H52202,,"Unspecified astigmatism, left eye"
,H52203,,"Unspecified astigmatism, bilateral"
,H52209,,"Unspecified astigmatism, unspecified eye"
,H52211,,"Irregular astigmatism, right eye"
,H52212,,"Irregular astigmatism, left eye"
,H52213,,"Irregular astigmatism, bilateral"
,H52219,,"Irregular astigmatism, unspecified eye"
,H52221,,"Regular astigmatism, right eye"
,H52222,,"Regular astigmatism, left eye"
,H52223,,"Regular astigmatism, bilateral"
,H52229,,"Regular astigmatism, unspecified eye"
,H523,,Anisometropia and aniseikonia
,H5231,,Anisometropia
,H524,,Presbyopia
,H525,,Disorders of accommodation
,H52521,,"Paresis of accommodation, right eye"
,H52522,,"Paresis of accommodation, left eye"
,H52523,,"Paresis of accommodation, bilateral"
,H52529,,"Paresis of accommodation, unspecified eye"
,H52531,,"Spasm of accommodation, right eye"
,H52532,,"Spasm of accommodation, left eye"
,H52533,,"Spasm of accommodation, bilateral"
,H52539,,"Spasm of accommodation, unspecified eye"
,H526,,Other disorders of refraction
,H527,,Unspecified disorder of refraction
,H530,,Amblyopia ex anopsia
,H53021,,"Refractive amblyopia, right eye"
,H53022,,"Refractive amblyopia, left eye"
,H53023,,"Refractive amblyopia, bilateral"
,H53029,,"Refractive amblyopia, unspecified eye"
,H53031,,"Strabismic amblyopia, right eye"
,H53032,,"Strabismic amblyopia, left eye"
,H53033,,"Strabismic amblyopia, bilateral"
,H53039,,"Strabismic amblyopia, unspecified eye"
,H53041,,"Amblyopia suspect, right eye"
,H53042,,"Amblyopia suspect, left eye"
,H53043,,"Amblyopia suspect, bilateral"
,H53049,,"Amblyopia suspect, unspecified eye"
,H531,,Subjective visual disturbances
,H5310,,Unspecified subjective visual disturbances
,H5311,,Day blindness
,H53121,,"Transient visual loss, right eye"
,H53122,,"Transient visual loss, left eye"
,H53123,,"Transient visual loss, bilateral"
,H53129,,"Transient visual loss, unspecified eye"
,H53131,,"Sudden visual loss, right eye"
,H53132,,"Sudden visual loss, left eye"
,H53133,,"Sudden visual loss, bilateral"
,H53139,,"Sudden visual loss, unspecified eye"
,H5315,,Visual distortions of shape and size
,H5316,,Psychophysical visual disturbances
,H5319,,Other subjective visual disturbances
,H532,,Diplopia
,H533,,Other and unspecified disorders of binocular vision
,H5330,,Unspecified disorder of binocular vision
,H5332,,Fusion with defective stereopsis
,H5334,,Suppression of binocular vision
,H534,,Visual field defects
,H5340,,Unspecified visual field defects
,H53421,,"Scotoma of blind spot area, right eye"
,H53422,,"Scotoma of blind spot area, left eye"
,H53423,,"Scotoma of blind spot area, bilateral"
,H53429,,"Scotoma of blind spot area, unspecified eye"
,H53431,,"Sector or arcuate defects, right eye"
,H53432,,"Sector or arcuate defects, left eye"
,H53433,,"Sector or arcuate defects, bilateral"
,H53439,,"Sector or arcuate defects, unspecified eye"
,H53451,,"Other localized visual field defect, right eye"
,H53452,,"Other localized visual field defect, left eye"
,H53453,,"Other localized visual field defect, bilateral"
,H53459,,"Other localized visual field defect, unspecified eye"
,H53461,,"Homonymous bilateral field defects, right side"
,H53462,,"Homonymous bilateral field defects, left side"
,H53469,,"Homonymous bilateral field defects, unspecified side"
,H5347,,Heteronymous bilateral field defects
,H53481,,"Generalized contraction of visual field, right eye"
,H53482,,"Generalized contraction of visual field, left eye"
,H53483,,"Generalized contraction of visual field, bilateral"
,H53489,,"Generalized contraction of visual field, unspecified eye"
,H535,,Color vision deficiencies
,H5350,,Unspecified color vision deficiencies
,H5359,,Other color vision deficiencies
,H5371,,Glare sensitivity
,H5372,,Impaired contrast sensitivity
,H538,,Other visual disturbances
,H539,,Unspecified visual disturbance
,H540,,"Blindness, both eyes"
,H540X33,,"Blindness r eye category 3, blindness left eye category 3"
,H543,,"Unqualified visual loss, both eyes"
,H544,,"Blindness, one eye"
,H545,,"Low vision, one eye"
,H54511A,,"Low vision right eye category 1, normal vision left eye"
,H5452A1,,"Low vision left eye category 1, normal vision right eye"
,H546,,"Unqualified visual loss, one eye"
,H5460,,"Unqualified visual loss, one eye, unspecified"
,H5461,,"Unqualified visual loss, right eye, normal vision left eye"
,H5462,,"Unqualified visual loss, left eye, normal vision right eye"
,H547,,Unspecified visual loss
,H55,,Nystagmus and other irregular eye movements
,H5500,,Unspecified nystagmus
,H5581,,Saccadic eye movements
,H5589,,Other irregular eye movements
,H570,,Anomalies of pupillary function
,H5700,,Unspecified anomaly of pupillary function
,H5702,,Anisocoria
,H5704,,Mydriasis
,H571,,Ocular pain
,H5710,,"Ocular pain, unspecified eye"
,H5711,,"Ocular pain, right eye"
,H5712,,"Ocular pain, left eye"
,H5713,,"Ocular pain, bilateral"
,H578,,Other specified disorders of eye and adnexa
,H579,,Unspecified disorder of eye and adnexa
,R441,,Visual hallucinations
,R483,,Visual agnosia
,V410,,Problems with sight
,V410,,Car driver injured in collision w pedal cycle nontraf
,V411,,Car passenger injured in collision w pedal cycle nontraf
,V411,,Other eye problems
,Z973,,Presence of spectacles and contact lenses
