Code,Type,Classification,Description
8039,ICD9,,other open skull fracture with intracranial injury of other and unspecified nature
80390,ICD9,Mild,other open skull fracture with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80391,ICD9,Mild,other open skull fracture with intracranial injury of other and unspecified nature w/o LOC
80392,ICD9,Mild,other open skull fracture with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80393,ICD9,mod_sev,other open skull fracture with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80394,ICD9,mod_sev,other open skull fracture with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80395,ICD9,mod_sev,other open skull fracture with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80396,ICD9,Mild,other open skull fracture with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80399,ICD9,Mild,other open skull fracture with intracranial injury of other and unspecified nature w/concussion unspecified
8040,ICD9,,closed fractures involving skull or face with other bones w/o mention of intracranial injury
80400,ICD9,,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/state of consciousness unspecified"
80401,ICD9,,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/o LOC"
80402,ICD9,Mild,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/brief (<1 hr) LOC"
80403,ICD9,mod_sev,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/moderate (1-24 hrs) LOC"
80404,ICD9,mod_sev,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/prolonged (>24 hrs) LOC and return to pre-existing conscious level"
80405,ICD9,mod_sev,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level"
80406,ICD9,Mild,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/LOC of unspecified duration"
80409,ICD9,Mild,"closed fractures involving skull or face with other bones, w/o mention of intractranial injury, w/concussion unspecified"
8041,ICD9,,closed fractures involving skull or face with other bones with cerebral laceration and contusion
80410,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/state of consciousness unspecified
80411,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/o LOC
80412,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/brief (<1 hr) LOC
80413,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80414,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80415,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80416,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/LOC of unspecified duration
80419,ICD9,mod_sev,closed fractures involving skull or face with other bones with cerebral laceration and contusion w/concussion unspecified
8042,ICD9,,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage
80420,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80421,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/o LOC
80422,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80423,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80424,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80425,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80426,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80429,ICD9,mod_sev,closed fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8043,ICD9,,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage
80430,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80431,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/o LOC
80432,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80433,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80434,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre- existing conscious level
80435,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80436,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80439,ICD9,mod_sev,closed fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/concussion unspecified
8044,ICD9,,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature
80440,ICD9,Mild,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80441,ICD9,Mild,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/o LOC
80442,ICD9,Mild,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80443,ICD9,mod_sev,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80444,ICD9,mod_sev,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80445,ICD9,mod_sev,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80446,ICD9,Mild,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80449,ICD9,Mild,closed fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/concussion unspecified
8045,ICD9,,open fractures involving skull or face with other bones w/o mention of intracranial injury
80450,ICD9,,open fractures involving skull or face with other bones w/o mention of intracranial injury w/state of consciousness unspecified
80451,ICD9,,open fractures involving skull or face with other bones w/o mention of intracranial injury w/o LOC
80452,ICD9,Mild,open fractures involving skull or face with other bones w/o mention of intracranial injury w/brief (<1 hr) LOC
80453,ICD9,mod_sev,open fractures involving skull or face with other bones w/o mention of intracranial injury w/moderate (1-24 hrs) LOC
80454,ICD9,mod_sev,open fractures involving skull or face with other bones w/o mention of intracranial injury w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80455,ICD9,mod_sev,open fractures involving skull or face with other bones w/o mention of intracranial injury w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80456,ICD9,Mild,open fractures involving skull or face with other bones w/o mention of intracranial injury w/LOC of unspecified duration
80459,ICD9,Mild,open fractures involving skull or face with other bones w/o mention of intracranial injury w/concussion unspecified
8046,ICD9,,open fractures involving skull or face with other bones with cerebral laceration and contusion
80460,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/state of consciousness unspecified
80461,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/o LOC
80462,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/brief (<1 hr) LOC
80463,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/moderate (1-24 hrs) LOC
80464,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80465,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80466,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/LOC of unspecified duration
80469,ICD9,mod_sev,open fractures involving skull or face with other bones with cerebral laceration and contusion w/concussion unspecified
8047,ICD9,,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage
80470,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/state of consciousness unspecified
80471,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/o LOC
80472,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/brief (<1 hr) LOC
80473,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/moderate (1-24 hrs) LOC
80474,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80475,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80476,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/LOC of unspecified duration
80479,ICD9,mod_sev,open fractures involving skull or face with other bones with subarachnoid subdural and extradural hemorrhage w/concussion unspecified
8048,ICD9,,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage
80480,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/state of consciousness unspecified
80481,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/o LOC
80482,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/brief (<1 hr) LOC
80483,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/moderate (1-24 hrs) LOC
80484,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80485,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/prolonged (>24 hrs) Loss Consciousness w/o return to pre-existing conscious level
80486,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/LOC of unspecified duration
80489,ICD9,mod_sev,open fractures involving skull or face with other bones with other and unspecified intracranial hemorrhage w/concussion unspecified
8049,ICD9,,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature
80490,ICD9,Mild,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/state of consciousness unspecified
80491,ICD9,Mild,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/o LOC
80492,ICD9,Mild,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/brief (<1 hr) LOC
80493,ICD9,mod_sev,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/moderate (1-24 hrs) LOC
80494,ICD9,mod_sev,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
80495,ICD9,mod_sev,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
80496,ICD9,Mild,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/LOC of unspecified duration
80499,ICD9,Mild,open fractures involving skull or face with other bones with intracranial injury of other and unspecified nature w/concussion unspecified
850,ICD9,,concussion
8500,ICD9,Mild,concussion w/o LOC
8501,ICD9,unclass,concussion w/brief LOC
85011,ICD9,Mild,concussion w/LOC of 30 min or less
85012,ICD9,mod_sev,concussion w/LOC From 31-59 min
8502,ICD9,mod_sev,concussion w/moderate LOC
8503,ICD9,mod_sev,concussion w/prolonged LOC and return to pre-existing conscious level
8504,ICD9,mod_sev,concussion w/prolonged LOC w/o return to pre-existing conscious level
8505,ICD9,Mild,concussion w/LOC of unspecified duration
8509,ICD9,Mild,concussion unspecified
8510,ICD9,,cortex (cerebral) contusion w/o mention of open intracranial wound
85100,ICD9,mod_sev,"cortex (cerebral) contusion w/o mention of open intracranial wound, state of consciousness unspecified"
85101,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/o LOC
85102,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/brief (<1 hr) LOC
85103,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85104,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85105,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85106,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/LOC of unspecified duration
85109,ICD9,mod_sev,cortex (cerebral) contusion w/o mention of open intracranial wound w/concussion unspecified
8511,ICD9,,cortex (cerebral) contusion with open intracranial wound
85110,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/state of consciousness unspecified
85111,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/o LOC
85112,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/brief (<1 hr) LOC
85113,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/moderate (1-24 hrs) LOC
85114,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85115,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85116,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/LOC of unspecified duration
85119,ICD9,mod_sev,cortex (cerebral) contusion with open intracranial wound w/concussion unspecified
8512,ICD9,,cortex (cerebral) laceration w/o mention of open intracranial wound
8512,ICD9,,cortex (cerebral) laceration w/o mention of open intracranial wound
85120,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/state of consciousness unspecified
85121,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/o LOC
85122,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/brief (<1 hr) LOC
85123,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85124,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85125,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85126,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/LOC of unspecified duration
85129,ICD9,mod_sev,cortex (cerebral) laceration w/o mention of open intracranial wound w/concussion unspecified
8513,ICD9,,cortex (derebral) laceration with open intracranial wound
85130,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/state of consciousness unspecified
85131,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/o LOC
85132,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/brief (<1 hr) LOC
85133,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/moderate (1-24 hrs) LOC
85134,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85135,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85136,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/LOC of unspecified duration
85139,ICD9,mod_sev,cortex (derebral) laceration with open intracranial wound w/concussion unspecified
8514,ICD9,,cerebellar or brain stem contusion w/o mention of open intracranial wound
85140,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/state of consciousness unspecified
85141,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/o LOC
85142,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/brief (<1 hr) LOC
85143,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85144,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/prolonged (>24 hrs) Loss Consciousness and return to pre-existing conscious level
85145,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85146,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/LOC of unspecified duration
85149,ICD9,mod_sev,cerebellar or brain stem contusion w/o mention of open intracranial wound w/concussion unspecified
8515,ICD9,,cerebellar or brain stem contusion with open intracranial wound
85150,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/state of consciousness unspecified
85151,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/o LOC
85152,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/brief (<1 hr) LOC
85153,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/moderate (1-24 hrs) LOC
85154,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85155,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85156,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/LOC of unspecified duration
85159,ICD9,mod_sev,cerebellar or brain stem contusion with open intracranial wound w/concussion unspecified
8516,ICD9,,cerebellar or brain stem laceration w/o mention of open intracranial wound
85160,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/state of consciousness unspecified
85161,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/o LOC
85162,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/brief (Less Than 1 Hour) LOC
85163,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85164,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85165,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85166,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/LOC of unspecified duration
85169,ICD9,mod_sev,cerebellar or brain stem laceration w/o mention of open intracranial wound w/concussion unspecified
8517,ICD9,,cerebellar or brain stem laceration with open intracranial wound
85170,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/state of consciousness unspecified
85171,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/o LOC
85172,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/brief (<1 hr) LOC
85173,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/moderate (1-24 hrs) LOC
85174,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85175,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85176,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/LOC of unspecified duration
85179,ICD9,mod_sev,cerebellar or brain stem laceration with open intracranial wound w/concussion unspecified
8518,ICD9,,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound
85180,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/state of consciousness unspecified
85181,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/o LOC
85182,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/brief (<1 hr) LOC
85183,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85184,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and Return To Pre- Existing Conscious Level
85185,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85186,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/LOC of unspecified duration
85189,ICD9,mod_sev,other and unspecified cerebral laceration and contusion w/o mention of open intracranial wound w/concussion unspecified
8519,ICD9,,other and unspecified cerebral laceration and contusion with open intracranial wound
85190,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/state of consciousness unspecified
85191,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/o LOC
85192,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/brief (<1 hr) LOC
85193,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/moderate (1-24 hrs) LOC
85194,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85195,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85196,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/LOC of unspecified duration
85199,ICD9,mod_sev,other and unspecified cerebral laceration and contusion with open intracranial wound w/concussion unspecified
8520,ICD9,,subarachnoid hemorrhage following injury w/o mention of open intracranial wound
85200,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/state of consciousness unspecified
85201,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/o LOC
85202,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/brief (<1 hr) LOC
85203,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85204,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85205,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85206,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/LOC of unspecified duration
85209,ICD9,mod_sev,subarachnoid hemorrhage following injury w/o mention of open intracranial wound w/concussion unspecified
8521,ICD9,,subarachnoid hemorrhage following injury with open intracranial wound
85210,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/state of consciousness unspecified
85211,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/o LOC
85212,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/brief (<1 hr) LOC
85213,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/moderate (1-24 hrs) LOC
85214,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85215,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85216,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/LOC of unspecified duration
85219,ICD9,mod_sev,subarachnoid hemorrhage following injury with open intracranial wound w/concussion unspecified
8522,ICD9,,subdural hemorrhage following injury w/o mention of open intracranial wound
85220,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/state of consciousness unspecified
85221,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/o LOC
85222,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/brief (<1 hr) LOC
85223,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85224,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85225,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85226,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/LOC of unspecified duration
85229,ICD9,mod_sev,subdural hemorrhage following injury w/o mention of open intracranial wound w/concussion unspecified
8523,ICD9,,subdural hemorrhage following injury with open itracranial wound
85230,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/state of consciousness unspecified
85231,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/o LOC
85232,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/brief (<1 hr) LOC
85233,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/moderate (1-24 hrs) LOC
85234,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85235,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85236,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/LOC of unspecified duration
85239,ICD9,mod_sev,subdural hemorrhage following injury with open itracranial woun w/concussion unspecified
8524,ICD9,,extradural hemorrhage following injury w/o mention of open intracranial wound
85240,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/state of consciousness unspecified
85241,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/o LOC
85242,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/brief (Less Than 1 Hour) LOC
85243,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
85244,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85245,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85246,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/LOC of unspecified duration
85249,ICD9,mod_sev,extradural hemorrhage following injury w/o mention of open intracranial wound w/concussion unspecified
8525,ICD9,,extradural hemorrhage following injury with open intracranial wound
85250,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/state of consciousness unspecified
85251,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/o LOC
85252,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/brief (<1 hr) LOC
85253,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/moderate (1-24 hrs) LOC
85254,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/prolonged (>24 hrs) LOC and return to pre-existing conscious level
85255,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/prolonged (>24 hrs) LOC w/o return to pre-existing conscious level
85256,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/LOC of unspecified duration
85259,ICD9,mod_sev,extradural hemorrhage following injury with open intracranial wound w/concussion unspecified
8530,ICD9,,other and unspecified intracranial hemorrhage following injury w/o mention of open intracranial wound
85300,ICD9,mod_sev,other and unspecified intracranial hemorrhage following injury w/o mention of open intracranial wound w/state of consciousness unspecified
85301,ICD9,mod_sev,other and unspecified intracranial hemorrhage following injury w/o mention of open intracranial wound w/o LOC
85302,ICD9,mod_sev,other and unspecified intracranial hemorrhage following injury w/o mention of open intracranial wound w/brief (<1 hr) LOC
85303,ICD9,mod_sev,other and unspecified intracranial hemorrhage following injury w/o mention of open intracranial wound w/moderate (1-24 hrs) LOC
